Date,Heure,Energie,Index,
27/04/2023,22:00,Solar,1230,
28/04/2023,22:00,Solar,1260,
29/04/2023,22:00,Solar,1270,
30/04/2023,22:00,Solar,1320,
01/05/2023,22:00,Solar,1340,
03/05/2023,22:00,Solar,1420,
04/05/2023,22:00,Solar,1480,
06/05/2023,22:00,Solar,1480,
09/05/2023,21:00,Pisc,5720.02,
09/05/2023,21:00,Eau,2032.5,
09/05/2023,21:00,Haut,108884,
09/05/2023,21:00,Bas,184671,
09/05/2023,21:00,Solar,1590,
13/05/2023,21:00,Solar,1700,
14/05/2023,21:00,Solar,1740,
19/05/2023,21:00,Solar,1970,
21/05/2023,21:00,Solar,2060,
28/05/2023,21:00,Pisc,6156.9,
28/05/2023,21:00,Eau,2036.5,
28/05/2023,21:00,Haut,108875.7,
28/05/2023,21:00,Bas,184660.7,
28/05/2023,21:00,Solar,2340,
01/06/2023,21:00,Haut,108882.7,
01/06/2023,21:00,Bas,184546.7,
01/06/2023,21:00,Solar,2450,
01/06/2023,21:00,Pisc,6156.9,
09/06/2023,21:00,Pisc,6302,
09/06/2023,21:00,Eau,2039.1,
09/06/2023,21:00,Haut,108833,
09/06/2023,21:00,Bas,184402,
09/06/2023,21:00,Solar,2960,
21/06/2023,21:00,Solar,3510,
08/07/2023,23:00,Pisc,6731.1,
08/07/2023,23:00,Eau,2046.44,
08/07/2023,23:00,Haut,108731.5,
08/07/2023,23:00,Bas,184085.5,
08/07/2023,23:00,Solar,4210,
06/08/2023,20:00,Pisc,7281.4,
06/08/2023,20:00,Eau,2052.19,
06/08/2023,20:00,Haut,108810.5,
06/08/2023,20:00,Bas,184020.5,
06/08/2023,20:00,Solar,5170,
08/09/2023,18:00,Pisc,7923.1,
08/09/2023,18:00,Eau,2058.52,
08/09/2023,18:00,Haut,108837.1,
08/09/2023,18:00,Bas,183934.5,
08/09/2023,18:00,Solar,6320,
09/04/2023,17:00,Boiler,480,
12/04/2023,06:42,Boiler,494.5,
08/09/2023,18:00,Boiler,987.5,
12/10/2023,18:00,Pisc,8808.6,
12/10/2023,18:00,Haut,109019,
12/10/2023,18:00,Bas,184260,
12/10/2023,18:00,Solar,7100,
12/10/2023,18:00,Boiler,1097.8,
13/11/2023,20:00,Pisc,8994.8,
13/11/2023,20:00,Eau,2072.15,
13/11/2023,20:00,Haut,109257.9,
13/11/2023,20:00,Bas,184297.7,
13/11/2023,20:00,Solar,7400,
13/11/2023,20:00,Boiler,1232.7,
04/12/2023,20:00,Solar,7490,
09/12/2023,18:00,Pisc,8998,
09/12/2023,18:00,Eau,2078,
09/12/2023,18:00,Haut,109440,
09/12/2023,18:00,Bas,184634,
09/12/2023,18:00,Solar,7500,
09/12/2023,18:00,Boiler,1347,
06/01/2024,20:00,Pisc,9001.1,
06/01/2024,20:00,Eau,2085,
06/01/2024,20:00,Haut,109704,
06/01/2024,20:00,Bas,184847,
01/01/2024,20:00,Solar,7580,
06/01/2024,20:00,Boiler,1489,
09/02/2024,20:00,Pisc,9002.2,
